Item Code,Description,Category,Type,UOM,Unit Price,Supplier
GEN-021,Accounting Software License (Annual),Non-food,Indirect,License,300,
GEN-056,"Air Conditioner (Split Unit, Commercial)",Non-food,Indirect,Pcs,650,
O000014,Alcohol,Non-food,Indirect,Tin,40,HOSANA
NEW-001,Alcohol (Nsf),Non-food,Indirect,Tin,40,HOSANA
GEN-023,All-Purpose Cleaner,Non-food,Indirect,Btl,4.5,
GEN-040,Almond Milk,Food,Direct,L,3.8,
I00050,Andros Chunky Lychee Rose,Food,Direct,Pack,12.1,BONCAFE
NEW-002,Apron-Barista,Non-food,Indirect,Pcs,4.5,Mayura Tailor Shop
I00043,Arabica Bean,Food,Direct,Kg,11.3,Chapter 5
GEN-012,Bar Stool,Non-food,Indirect,Pcs,65,
GEN-018,Barcode Scanner,Non-food,Indirect,Pcs,85,
NEW-003,Best Cows,Food,Direct,CTN,31,REACH SUPPLY
GEN-005,Blender (Commercial),Non-food,Indirect,Pcs,380,
GEN-071,Bottled Sparkling Water (Retail),Food,Direct,Btl,0.75,
GEN-070,Bottled Still Water (Retail),Food,Direct,Btl,0.3,
GEN-034,Branded Mug (Premium Gift),Non-food,Indirect,Pcs,4.5,
GEN-033,Branded T-Shirt (Staff/Promo),Non-food,Indirect,Pcs,8,
GEN-032,Branded Tote Bag (Premium Gift),Non-food,Indirect,Pcs,3.5,
GEN-037,Branded Umbrella (Premium Gift),Non-food,Indirect,Pcs,9,
GEN-041,Brown Sugar Syrup,Food,Direct,Btl,8.5,
GEN-010,Cafe Chair,Non-food,Indirect,Pcs,45,
GEN-011,Cafe Table (2-seater),Non-food,Indirect,Pcs,120,
GEN-042,Caramel Sauce (Generic),Food,Direct,Btl,7.5,
I00004,Caramel Syrup,Food,Direct,BTL,12.08,Kofi
GEN-052,Card Payment Terminal (POS),Non-food,Indirect,Pcs,220,
GEN-053,Cash Drawer,Non-food,Indirect,Pcs,85,
GEN-020,CCTV Camera (Per Unit),Non-food,Indirect,Pcs,95,
NEW-004,Chef Hat,Non-food,Indirect,BOX,3,ELEPHANT PLASTIC
GEN-044,Chocolate Chips,Food,Direct,Kg,6.8,
I00006,Chocolate Sauce,Food,Direct,BTL,4.17,LIVCOMO
GEN-068,Cinnamon Powder,Food,Direct,Kg,5.5,
O000015,"Clean Pro, Hypochiorous",Non-food,Indirect,Btl,32.67,Community Pharma
GEN-001,Coffee Grinder (Commercial),Non-food,Indirect,Pcs,450,
HQ-002,Connector 200 Type,Non-food,Indirect,Pcs,35,
GEN-066,Cordless Drill (Maintenance Tool),Non-food,Indirect,Pcs,65,
I00057,Cream Aero Top Plus,Food,Direct,Box,4.41,Penisula
I00054,Cream Avoset,Food,Direct,Box,4.8,Penisula
I00063,Cream Ice Hot Non-Dairy Creamer,Food,Direct,BOX,1.82,Kofi
GEN-045,"Croissant (Frozen, Wholesale)",Food,Direct,Pcs,0.85,
HQ-003,Customized PC (Clone),Non-food,Indirect,Pcs,1860,Chantra Computer
I00048,Davinci Chocolate Sauce,Food,Direct,BTL,19.69,GBS
NEW-005,Davinci Pum 10Ml,Food,Direct,PCS,3.95,GBS
I00051,Davinci Rose Syrup,Food,Direct,BTL,8.8,GBS
GEN-051,Delivery Paper Bag (Branded),Non-food,Direct,Pcs,0.28,
GEN-059,Delivery Platform Integration/Tablet,Non-food,Indirect,Pcs,180,
GEN-004,Digital Kitchen Scale,Non-food,Indirect,Pcs,35,
GEN-025,Dish Soap (Commercial),Non-food,Indirect,Btl,6,
GEN-058,Display Chiller/Fridge (Countertop),Non-food,Indirect,Pcs,480,
GEN-007,Drinking Glass 12oz,Non-food,Indirect,Pcs,2.5,
GEN-002,"Espresso Machine (Commercial, 2-Group)",Non-food,Indirect,Pcs,4500,
GEN-065,Extension Cord/Power Strip,Non-food,Indirect,Pcs,8,
O000012,Face Mask,Non-food,Indirect,BOX,1.25,ELEPHANT PLASTIC
GEN-031,Fire Extinguisher,Non-food,Indirect,Pcs,40,
GEN-030,First Aid Kit,Non-food,Indirect,Kit,25,
GEN-026,Floor Mop Set,Non-food,Indirect,Set,15,
NEW-006,Gas 48 Kg,Non-food,Indirect,TIN,52,SONG HENG GAS
O000004,Gas Cream Charger,Food,Direct,PCS,8.15,Kofi
GEN-024,Glass Cleaner,Non-food,Indirect,Btl,3.8,
GEN-009,Glass Coffee Server/Carafe,Non-food,Indirect,Pcs,22,
O000011,Hand Cleaning Soap,Non-food,Indirect,Btl,19.8,Community Pharma
NEW-007,Hand Towel (Ctn/24Pack),Non-food,Indirect,Pcs,1.21,Comfy / MC Tissue
NEW-008,Hand Towel (Ctn/24Pack) Vat,Non-food,Indirect,Pcs,1.33,Comfy / MC Tissue
I00016,Honey Syrup,Food,Direct,BOX,4.21,LIVCOMO
GEN-006,Ice Maker Machine,Non-food,Indirect,Pcs,1200,
GEN-054,Illuminated Signage Board (Storefront),Non-food,Indirect,Pcs,320,
GEN-050,Insulated Delivery Bag,Non-food,Indirect,Pcs,14,
I000044,Isi Soda Charger 10S,Food,Direct,PCS,6.49,Kofi
NEW-009,Jumbo Roll (Ctn/12Pack),Non-food,Indirect,Pcs,2.08,Comfy / MC Tissue
NEW-010,Jumbo Roll (Ctn/12Pack) Vat,Non-food,Indirect,Pcs,2.29,Comfy / MC Tissue
HQ-008,Keyboard B2 Pro (Black),Non-food,Indirect,Unit,45,KT Group
HQ-009,Keyboard M6 Ultra (Black),Non-food,Indirect,Unit,45,KT Group
O000009,Kichen Cleaning Soap,Non-food,Indirect,Btl,29.7,Community Pharma
HQ-005,Kiosk Display,Non-food,Indirect,Unit,1150,DAVID LY
HQ-006,Kiosk Stand,Non-food,Indirect,Unit,680,DAVID LY
NEW-011,Kirisu Milk 2L,Food,Direct,Btl,4.4,BTND (Kirisu)
HQ-001,Laptop Dell XPS9345,Non-food,Indirect,Pcs,1099,
GEN-063,LED Ceiling Light Fixture,Non-food,Indirect,Pcs,25,
I00017,Lime,Food,Direct,Kg,0.75,Srey Nea
GEN-060,Loyalty App/CRM Software License (Annual),Non-food,Indirect,License,800,
GEN-035,"Loyalty Card (Printed, per 100)",Non-food,Indirect,Pack,12,
I00018,Lychee Syrup,Food,Direct,BTL,12.08,Kofi
NEW-012,Matcha Powder 200G,Food,Direct,Pack,11.92,Matcha
GEN-029,Menu Board/Display,Non-food,Indirect,Pcs,45,
NEW-013,Milac Gold Milk,Food,Direct,Box,4.4,Indugana Cambodia
GEN-003,Milk Frothing Pitcher,Non-food,Indirect,Pcs,18,
C00004,Mini Almond Crossiant,Food,Direct,Pack,1.05,The Cake Factory
C00002,Mini Chocolate Tin,Food,Direct,Pack,1.01,The Cake Factory
C00001,Mini Crossiant,Food,Direct,Pack,0.91,The Cake Factory
C00005,Mini Raisin Roll,Food,Direct,Pack,1.05,The Cake Factory
I00046,Monin Caramel Sauce,Food,Direct,BTL,29.79,Kofi
I00047,Monin Liquid Concentrate,Food,Direct,BTL,10.24,Kofi
NEW-014,Monin Pump Puree-15Ml,Food,Direct,PCS,5.75,Kofi
NEW-015,Monin Pump-10Ml,Food,Direct,PCS,4.6,Kofi
I00056,Monin Yuzu Fruit Puree,Food,Direct,BTL,22.89,Kofi
HQ-004,"Monitor Dell 27"" Plus S2725QC",Non-food,Indirect,Pcs,369,Chantra Computer
NEW-016,Mop Shine Spring Fresh 5L,Non-food,Indirect,Btl,16.6,Community Pharma
GEN-046,Muffin Mix,Food,Direct,Kg,12,
GEN-048,Name Badge (Staff),Non-food,Indirect,Pcs,2.5,
NEW-017,Napkin Logo (Ctn/30Pack),Non-food,Direct,Ctn,19,Comfy / MC Tissue
NEW-018,Napkin Logo (Ctn/30Pack) Vat,Non-food,Direct,Ctn,20.9,Comfy / MC Tissue
I00022,Non-Diary Creamer,Food,Direct,PACK,3.34,Kofi
GEN-049,Non-Slip Safety Shoes (Staff),Non-food,Indirect,Pair,22,
GEN-039,Oat Milk,Food,Direct,L,4.2,
GEN-013,Outdoor Table Set,Non-food,Indirect,Set,280,
NEW-019,Pants-Barista,Non-food,Indirect,Pcs,12,Mayura Tailor Shop
